Archives-Navy Memorial-Penn Quarter,38.8939,-77.0219,701 Pennsylvania Avenue NW,Washington,DC,20004;
L'Enfant Plaza,38.8848,-77.022,600 Maryland Avenue SW,Washington,DC,20024;
Waterfront,38.8762,-77.0175,399 M Street SW,Washington,DC,20024;
Navy Yard-Ballpark,38.8766,-77.0051,200 M Street SE,Washington,DC,20003;
Anacostia,38.8621,-76.9957,1101 Howard Road SE,Washington,DC,20020;
Congress Heights,38.8453,-76.9882,1290 Alabama Avenue SE,Washington,DC,20020;
Southern Avenue,38.841,-76.9754,1411 Southern Avenue,Temple Hills,MD,20748;
Naylor Road,38.8512,-76.9566,3101 Branch Avenue,Temple Hills,MD,20748;
Suitland,38.8439,-76.932,4500 Silver Hill Road,Suitland,MD,20746;
Branch Ave,38.827,-76.9121,4704 Old Soper Road,Suitland,MD,20746;
Benning Road,38.8905,-76.9383,4500 Benning Road,Washington,DC,20019;
Capitol Heights,38.8898,-76.9134,133 Central Avenue,Capitol Heights,MD,20743;
Addison Road-Seat Pleasant,38.8867,-76.8936,100 Addison Road S.,Capitol Heights,MD,20743;
Morgan Boulevard,38.8913,-76.8682,300 Garrett Morgan Blvd.,Landover,MD,20785;
Largo Town Center,38.9008,-76.8449,Largo Town Center 9000 Lottsford Road,Largo,MD,20774;
Van Dorn Street,38.7992,-77.1294,5690 Eisenhower Avenue,Alexandria,VA,22310;
Franconia-Springfield,38.7661,-77.1688,6880 Frontier Drive,Springfield,VA,22150;
Court House,38.8915,-77.0839,2100 Wilson Blvd,Arlington,VA,22201;
Clarendon,38.8864,-77.097,3100 Wilson Blvd,Arlington,VA,22201;
Virginia Square-GMU,38.8833,-77.1043,3600 Fairfax Drive,Arlington,VA,22201;
Ballston-MU,38.8821,-77.1118,4230 Fairfax Drive,Arlington,VA,22201;
East Falls Church,38.8858,-77.1572,2001 N. Sycamore St.,Arlington,VA,22205;
West Falls Church-VT/UVA,38.9007,-77.1894,7040 Haycock Road,Falls Church,VA,22043;
Dunn Loring-Merrifield,38.883,-77.2289,2700 Gallows Road,Vienna,VA,22180;
Vienna/Fairfax-GMU,38.8777,-77.2716,9550 Saintsbury Drive,Fairfax,VA,22031;
McLean,38.9245,-77.2102,1824 Dolley Madison Boulevard,McLean,VA,22102;
Tysons Corner,38.9201,-77.2233,1943 Chain Bridge Road,McLean,VA,22102;
Greensboro,38.9198,-77.2352,8305 Leesburg Pike,Vienna,VA,22182;
Spring Hill,38.9293,-77.242,1576 Spring Hill Road,Vienna,VA,22182;
Wiehle-Reston East,38.9478,-77.3402,1862 Wiehle Avenue,Reston,VA,20190;
